GeneName,geneid,baseMean,log2FoldChange,pvalue,padj
SERPINA5,5104,2458.877644,-6.514670207,8.76E-108,1.68E-103
MFSD2A,84879,1106.464706,-5.928878477,2.53E-93,2.42E-89
ACSL6,23305,263.0678825,-5.509431338,3.88E-89,2.48E-85
MCF2,4168,180.2118717,-5.49370837,1.42E-87,6.81E-84
EMX2,2018,517.9300131,-6.383182905,3.39E-82,1.3E-78
CLDN2,9075,1133.13762,-7.195510537,2.11E-75,6.72E-72
NDRG4,65009,569.0775031,-3.809949468,1.19E-72,3.26E-69
KLHL14,57565,269.7558379,-4.241340264,5.23E-72,1.25E-68
HOXB8,3218,210.474939,-5.814940907,1.08E-71,2.29E-68
,196047,655.1337337,-5.623106608,2.07E-71,3.96E-68
FAM83A,84985,74.54320412,-5.763128681,2.41E-71,4.19E-68
AKR1B1,231,4618.714322,-3.809921868,2.66E-71,4.24E-68
SPINK2,6691,626.8258282,-6.963773469,5.75E-71,8.46E-68
SLCO4C1,353189,58.24905018,-5.338378645,3.23E-70,4.41E-67
FUT3,2525,130.9163267,-4.518400191,7.68E-64,9.79E-61
SEMG2,6407,180824.2971,-8.327456393,1.98E-63,2.36E-60
RASL10B,91608,336.1284225,-3.580413603,2.14E-62,2.41E-59
SLC46A2,57864,47.61093527,-4.173706199,1.04E-61,1.1E-58
PKD1L2,114780,49.79520575,-5.684484997,6.35E-60,6.39E-57
CA2,760,649.7597613,-4.558067175,6.74E-58,6.45E-55
PATE2,399967,107.5345629,-5.334284153,8.92E-58,8.13E-55
AQP2,359,2922.933034,-7.685884396,1.94E-57,1.69E-54
ANO1,55107,3388.223521,-2.912982653,3.19E-57,2.65E-54
ATP13A4,84239,51.88211748,-5.163197696,1.16E-56,9.28E-54
EPHA10,284656,427.7846277,2.141225842,6.77E-56,5.18E-53
,84856,54.6130056,-4.313850776,7.46E-56,5.49E-53
SLC2A9,56606,237.536859,-2.799759009,9.24E-56,6.55E-53
PATE4,399968,1161.096047,-8.043300976,2.26E-55,1.54E-52
ANXA13,312,185.6953252,-5.621800763,3.66E-55,2.42E-52
WNT9B,7484,57.64266143,-4.81609378,9.52E-55,6.07E-52
LPL,4023,1239.671746,-4.075425646,1.3E-53,8E-51
CYSLTR2,57105,73.78990438,-3.830966365,2.18E-53,1.3E-50
HOXB6,3216,273.6904895,-4.429693164,2.5E-52,1.45E-49
HPN,3249,10793.48714,2.409609924,6.26E-52,3.52E-49
SLC45A2,51151,228.9069083,4.713566228,1.1E-51,5.99E-49
PAQR8,85315,947.8675243,-2.587610647,1.3E-51,6.91E-49
STAC2,342667,978.9295755,-4.355268214,1.73E-51,8.93E-49
